id,fullname,job,gender,city,salary,birthday
1,Gifford Grinnikov,Staff Accountant IV,Male,Les Sables-d'Olonne,14199,1996-04-07
2,Yorke Malinson,VP Quality Control,Male,Lamarosa,65223,1982-12-30
3,Una Bamborough,Associate Professor,Female,Luxia,21744,1998-08-16
4,Tracie Mieville,Biostatistician I,Female,Krajan,5551,2001-07-19
5,Amandi Rickert,Junior Executive,Female,Xuelu,98357,1989-06-10
6,Gray Larter,Database Administrator IV,Female,Andamui,8499,1989-06-10
7,Ewan Wiffler,Developer II,Male,Boa Vista,61632,1975-01-24
8,Sansone Gockelen,Director of Sales,Male,Huanshan,41236,1982-12-30
9,Starlene Pratley,Senior Editor,Female,Halmstad,32765,2001-07-19
10,Betti Rawne,Programmer Analyst II,Female,Energodar,10269,1996-04-07
